Serial,Source,commodity,date,sentence,polarity,subjectivity,Sentiment_Type
121,Money Control,silver,25.10.2018,"The rise in silver prices at futures market was mostly attributed to widening of bets by participants largely in tandem with a firm trend in global markets, analysts said.",0.128571429,0.332142857,Positive
124,Money Control,silver,24.10.2018,"Silver for delivery in November was down by Rs 35, or 0.09 per cent, to Rs 39,113 per kg in futures trade at the Multi Commodity Exchange. It clocked a business volume of 525 lots.",-0.155555556,0.288888889,Negative
137,Money Control,silver,19.10.2018,"At the Multi Commodity Exchange, silver for delivery in December fell by Rs 71, or 0.18 per cent, to Rs 38,788 per kg in a business turnover of 298 lots.",0,0,Neutral
149,Money Control,silver,17.10.2018,"Silver for delivery in December was trading lower by Rs 72, or 0.19 per cent, at Rs 38,792 per kg in a business turnover of 23,444 lots at the Multi Commodity Exchange (MCX).",0,0,Neutral
157,Money Control,silver,15.10.2018,"At the Multi Commodity Exchange, silver for delivery in November spurted by Rs 147, or 0.38 per cent, to Rs 39,087 per kg in a business turnover of 650 lots.",0,0,Neutral
165,Money Control,silver,12.10.2018,"At the Multi Commodity Exchange, silver for delivery in December was trading lower by Rs 49 or 0.13 per cent to Rs 38,840 per kg in a business turnover of 225 lots.",0,0,Neutral
170,Money Control,silver,11.10.2018,"At the Multi Commodity Exchange, silver for delivery in December was trading lower by Rs 20 or 0.05 per cent to Rs 38,465 per kg in a business turnover of 204 lots.",0,0,Neutral
175,Money Control,silver,10.10.2018,"At the Multi Commodity Exchange, silver for delivery in November was trading higher by Rs 72, or 0.19 per cent, at Rs 38,716 per kg in a business turnover of 52 lots.",0.25,0.5,Positive
183,Money Control,silver,08.10.2018,Silver traded 0.11 per cent lower at USD 14.48 an ounce in Singapore.,0,0,Neutral
189,Money Control,silver,07.10.2018,"Important moving average such as 50-days and 20-days SMA are placed around Rs 38,000 so there is a higher probability that market could find supports at 38,000/37,500 zone and move towards 40,000 in the short to medium-term",0.1,0.54,Positive
192,Money Control,silver,05.10.2018,"Silver for delivery in far-month December was trading lower by Rs 113 or 0.29 per cent to Rs 38,858 per kg in a business turnover of 790 lots at Multi Commodity Exchange (MCX).",0,0,Neutral
199,Money Control,silver,04.10.2018,"Silver for delivery in far-month December was trading lower by Rs 117 or 0.30 per cent to Rs 38,975 per kg in a business turnover of 560 lots at Multi Commodity Exchange (MCX).",0,0,Neutral
223,Money Control,silver,27.09.2018,"The white metal for March was trading higher by Rs 77, or 0.20 per cent, to Rs 38,746 per kg in 39 lots.",0.125,0.25,Positive
378,Money Control,silver,23.07.2018,"Supply and demand for non-investment use of silver is a showing distinctly positive sentiments, but traders are still staying away from taking fresh positions.",0.263636364,0.522727273,Positive
666,Money Control,silver,22.03.2018,Tapan Patel of LKP Securities discusses with Nigel D’Souza and Reema Tendulkar the current trend in commodities markets.,0,0.4,Neutral
715,Money Control,silver,26.02.2018,Bankers will be bullish on silver as markets anticipate the surge in gold prices would eventually transfer to gains in silver.,0,0,Neutral
768,Money Control,silver,30.01.2018,"Taking weak cues from overseas markets, silver prices were down by 0.21 percent to Rs 39,593 per kg in futures trading today, as participants cut down their bets.",-0.228703704,0.400925926,Negative
795,Money Control,silver,17.01.2018,"The Budget will take care of this year is the re-introduction of benefits under section 88E for our members. We believe this will go long way in terms of boosting both the volumes and the confidence in the overall commodity markets in terms of volume as well, said Mrugank Paranjpe, MD & CEO of MCX",-0.025,0.2,Negative
955,Money Control,silver,06.11.2017,Watch the interview of Aurobinda Prasad Gayan of Kotak Commodity with Manisha Gupta on CNBC-TV18. He spoke about the current trend in commodities market.,0,0.4,Neutral
1005,Money Control,silver,17.10.2017,"In an interview to CNBC-TV18's Manisha Gupta, Sumeet Bagadia of Choice Broking shared his views on the trends in the commodity space.",0,0,Neutral
1041,Money Control,silver,03.10.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of short covering after drop in prices.",0,0.15,Neutral
1109,Money Control,silver,07.09.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after up-move in prices.",0,0,Neutral
1123,Money Control,silver,04.09.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of US non - farm payroll employment data.",0.113636364,0.272727273,Positive
1131,Money Control,silver,31.08.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of European Central Bank statement.",0.056818182,0.198863636,Positive
1133,Money Control,silver,31.08.2017,"Silver prices tumbled Rs 188 to Rs 39,533 per kg in futures trade on Thursday as speculators cut holdings amid a weakening trend overseas.",0,0,Neutral
1142,Money Control,silver,29.08.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of European Central Bank statement.",0.056818182,0.198863636,Positive
1171,Money Control,silver,17.08.2017,"According to Achiievers Equities, Silver ended with losses but prices trimmed some of its losses after the release of downbeat U.S. housing sector data dampened demand for the greenback.",0,0,Neutral
1191,Money Control,silver,10.08.2017,"According to Achiievers Equities, Silver gained amid rising tensions between US and North Korea after the North responded to warnings from U.S. President Donald Trump.",0,0,Neutral
1196,Money Control,silver,09.08.2017,"According to Achiievers Equities, Silver gained tracking firmness in base metals prices despite of a rebound in the dollar, after U.S. job openings topped forecasts.",-0.8,1,Negative
1220,Money Control,silver,03.08.2017,"According to Achiievers Equities, Silver prices dropped as a recent rally started showing signs of fatigue.",0,0.25,Neutral
1244,Money Control,silver,27.07.2017,"According to Achiievers Equities, Silver dropped as market players looked ahead to the outcome of the Federal Reserve's policy meeting for insight on the timing of the next U.S. rate hike.",0,0,Neutral
1249,Money Control,silver,26.07.2017,Watch the interview of Kunal Shah of Nirmal Bang Commodities with CNBC-TV18's Manisha Gupta in which he shared his views on the current trend in the commodities market.,0,0.4,Neutral
1250,Money Control,silver,26.07.2017,"According to Achiievers Equities, Silver gained tracking gains in base metals and as market players looked ahead to a Federal Reserve policy meeting for any new insight.",-0.331818182,0.727272727,Negative
1287,Money Control,silver,18.07.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up move.",-0.0625,0.375,Negative
1291,Money Control,silver,17.07.2017,"According to Achiievers Equities, Silver gains benefiting from a slump in the dollar to a ten-month low following a pair of disappointing economic reports.",-0.1,0.325,Negative
1297,Money Control,silver,14.07.2017,Watch the interview of Sumeet Bagadia of Choice Broking with CNBC-TV18's Manisha Gupta in which he speaks about the trends in the commodities market.,0,0,Neutral
1310,Money Control,silver,12.07.2017,"According to Achiievers Equities, Silver prices gained as a drop in equities drove safe-haven buying and the U.S. dollar retreated.",0,0,Neutral
1317,Money Control,silver,11.07.2017,"According to Achiievers Equities, Silver gains as prices recovered on short covering as investors looked ahead to testimony from Fed chair Janet Yellen later this week on the health of the economy.",0,0.15,Neutral
1323,Money Control,silver,10.07.2017,"According to Achiievers Equities, Silver prices slumped after data showed an improvement in the U.S. labor market.",0,0,Neutral
1335,Money Control,silver,06.07.2017,"According to Achiievers Equities, Silver pushed lower by a strengthening dollar and rising U.S. bond yields while investors looked ahead to Federal Reserve minutes.",0,0,Neutral
1358,Money Control,silver,30.06.2017,"According to Achiievers Equities, Silver dropped as a flurry of comments from central banks bosses hinting at tapering ultra- loose monetary policy measures weighed on prices.",-0.038461538,0.259615385,Negative
1367,Money Control,silver,28.06.2017,"According to Achiievers Equities, Silver gained supported by an easing dollar, with investors looking to a speech by Fed’s Yellen for clues on the outlook for U.S. monetary policy.",0,0,Neutral
1371,Money Control,silver,27.06.2017,"According to Achiievers Equities, Silver dropped as investors looked ahead to comments from key Fed officials and a raft of U.S. economic data in the week ahead.",0.1,0.6,Positive
1375,Money Control,silver,23.06.2017,"According to Achiievers Equities,Silver rose benefiting from risk aversion as weaker oil prices dented stocks while the dollar retreated.",0.6,0.95,Positive
1380,Money Control,silver,23.06.2017,"According to Sushil Finance, We expect silver prices to trade sideways on the back of short covering after drop in prices.",0,0.15,Neutral
1384,Money Control,silver,22.06.2017,"According to Achiievers Equities, Silver prices ended with losses as investors worried about future Federal Reserve rate hikes.",0,0.125,Neutral
1385,Money Control,silver,22.06.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of short covering after drop in prices.",0.075757576,0.281818182,Positive
1394,Money Control,silver,21.06.2017,"According to Sushil Finance, expect silver prices to trade negative on the back of FOMC statements.",-0.15,0.2,Negative
1400,Money Control,silver,21.06.2017,"According to Achiievers Equities, Silver dropped as hawkish remarks made by an influential Federal Reserve official reinforced expectations for the Fe d to keep raising interest rates.",0,0,Neutral
1405,Money Control,silver,20.06.2017,"According to Achiievers Equities, Silver prices fell as investors looked ahead to a busy week of Federal Reserve speakers for more clues on future monetary policy moves.",0.2,0.308333333,Positive
1411,Money Control,silver,19.06.2017,"According to Achiievers Equities, Silver prices dropped as safe haven demand remained subdued, despite a pair of disappointing U.S. economic reports raising concerns about economy.",0.033333333,0.466666667,Positive
1414,Money Control,silver,19.06.2017,"According to Sushil Finance, expect silver prices to trade negative on the back of FOMC statements.",-0.15,0.2,Negative
1448,Money Control,silver,16.06.2017,"According to Achiievers Equities, Silver dropped weighed down by a stronger dollar supported by data showing a strong U.S. jobs market.",0.138888889,0.511111111,Positive
1458,Money Control,silver,15.06.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up move in prices.",-0.0625,0.375,Negative
1462,Money Control,silver,15.06.2017,"According to Achiievers Equities,Silver gained as support seen after a pair of economic reports undershot expectations triggering concerns about a slowdown in the U.S. economy.",0.2,0.2,Positive
1470,Money Control,silver,14.06.2017,"According to Achiievers Equities, Silver prices dropped as the market awaited signals of future monetary tightening by the U.S. Federal Reserve.",0,0.125,Neutral
1475,Money Control,silver,13.06.2017,"According to Achiievers Equities, Silver prices dropped as investors looked ahead to a Federal Reserve policy meeting, while keeping an eye on political developments in the U.K.",0,0.1,Neutral
1482,Money Control,silver,12.06.2017,"According to Achiievers Equities, Silver dropped despite renewed political uncertainty in the UK, after the general election resulted in a hung parliament.",0.025,0.3,Positive
1489,Money Control,silver,09.06.2017,"According to Achiievers Equities, Silver price dipped from the strength of the dollar competing against upward pressures from the political ongoings of the UK election.",0,0.1,Neutral
1491,Money Control,silver,09.06.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up move in prices.",-0.0625,0.375,Negative
1498,Money Control,silver,08.06.2017,"According to Achiievers Equities, Silver dropped as the U.S. dollar jumped against the euro following reports that the European Central Bank is preparing to cut its inflation forecast.",0,0.116666667,Neutral
1501,Money Control,silver,08.06.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up move in prices.",-0.0625,0.375,Negative
1507,Money Control,silver,07.06.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up move in prices.",-0.0625,0.375,Negative
1512,Money Control,silver,07.06.2017,"According to Achiievers Equities, Silver prices gained as investor sentiment remained skewed toward safe-haven assets ahead of testimony from the former FBI director and British elections.",0,0,Neutral
1518,Money Control,silver,06.06.2017,"According to Achiievers Equities, Silver gained as safe-haven demand on renewed geopolitical tensions and a flurry of risk events later during the week.",0,0,Neutral
1520,Money Control,silver,06.06.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of Friday's disappointing U.S. non-farm payrolls data.",-0.124242424,0.415151515,Negative
1528,Money Control,silver,05.06.2017,"According to Achiievers Equities, Silver gained buoyed by the return of safe haven demand, as the U.S. dollar fell to a seven-month low.",0.25,0.4,Positive
1534,Money Control,silver,02.06.2017,"According to Achiievers Equities, Silver prices settled down in volatile session as participants are cautious ahead of the Federal Open Market Committee meeting.",-0.077777778,0.394444444,Negative
1537,Money Control,silver,02.06.2017,"According to Sushil Finance, expect silver prices to trade positive ahead of Friday's U.S. non-farm payrolls report.",0.227272727,0.545454545,Positive
1545,Money Control,silver,01.06.2017,"According to Achiievers Equities, Silver prices dropped as the dollar regained momentum ahead of Friday's U.S. non-farm payrolls report.",0,0,Neutral
1550,Money Control,silver,01.06.2017,"According to Sushil Finance, expect silver prices to trade positive ahead of Friday's U.S. non-farm payrolls report.",0.227272727,0.545454545,Positive
1556,Money Control,silver,31.05.2017,"According to Achiievers Equities, Silver dropped as hawkish comments concerning U.S. interest rates from a top Fed official weighed on prices.",0.5,0.5,Positive
1558,Money Control,silver,31.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1564,Money Control,silver,30.05.2017,Watch the interview of Sumeet Bagadia of Choice Broking with Sonia Shenoy and Nigel D'souza on CNBC-TV18. He speaks about the current trends in crude oil in the commodities market.,-0.35,0.7,Negative
1566,Money Control,silver,30.05.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of safe haven demand.",0.242424242,0.348484848,Positive
1570,Money Control,silver,30.05.2017,"According to Achiievers Equities, Silver remained supported as the latest ballistic missile test by North Korea supported safe haven demand.",0.5,0.7,Positive
1579,Money Control,silver,29.05.2017,"According to Achiievers Equities, Silver prices gained as the dollar retreated with investors shying away from riskier assets following a tumble in oil prices.",0,0.1,Neutral
1582,Money Control,silver,29.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1591,Money Control,silver,26.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1594,Money Control,silver,26.05.2017,"According to Achiievers Equities, Silver held steady as the dollar weakened after minutes from a US Fed suggested that the central bank could take a more cautious approach.",0.222222222,0.416666667,Positive
1601,Money Control,silver,25.05.2017,"According to Achiievers Equities, Silver dropped as investors looked ahead to minutes of Fed’s latest policy meeting due later in the global day for further hints on the timing of the next U.S. rate hike.",0.0625,0.295833333,Positive
1605,Money Control,silver,25.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1614,Money Control,silver,24.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1622,Money Control,silver,23.05.2017,"According to Achiievers Equities, Silver prices ended with gains as investors continued to assess the impact of the latest bout of U.S. political turmoil.",0.25,0.5,Positive
1625,Money Control,silver,23.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1633,Money Control,silver,22.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1636,Money Control,silver,22.05.2017,"According to Achiievers Equities, Silver prices as edged up the dollar softened and stocks eased amid the ongoing political crisis in the United States that weakened risk appetite.",0,0.1,Neutral
1644,Money Control,silver,19.05.2017,"According to Sushil Finance, We expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
1645,Money Control,silver,19.05.2017,"According to Achiievers Equities,Silver dropped despite investors feeling increasingly nervous over the future of Trump's US presidency sought safe havens for their money.",0.25,0.3125,Positive
1651,Money Control,silver,18.05.2017,"According to Achiievers Equities, Silver rallied as political turmoil surrounding the Trump administration has rocked the US dollar, with falling to its lowest level since Nov.",0,0.1,Neutral
1655,Money Control,silver,18.05.2017,"According to Sushil Finance, We expect silver prices to trade positive on the back of short covering after drop in prices.",0.075757576,0.281818182,Positive
1660,Money Control,silver,17.05.2017,"According to Sushil Finance, We expect silver prices to trade sideways on the back of US Interest rate outlook.",0,0,Neutral
1664,Money Control,silver,17.05.2017,"According to Achiievers Equities,Silver gains as signs of slowing economic activity in the U.S. saw investors temper expectations for more rate hikes by the Federal Reserve.",0.35,0.35,Positive
1668,Money Control,silver,16.05.2017,"According to Achiievers Equities, Silver prices rallied finding traction after weekend comments from China about a boost in infrastructure projects and on dollar weakness.",0,0,Neutral
1670,Money Control,silver,16.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of US Interest rate outlook.",0,0,Neutral
1676,Money Control,silver,15.05.2017,"According to Achiievers Equities, Silver prices ended with gains after weaker than expected inflation and core retail sales data weighed on the dollar and lifted sentiment for the metal.",-0.1,0.4,Negative
1684,Money Control,silver,12.05.2017,"According to Achiievers Equities, Silver prices ended with gains buoyed by a weaker dollar, despite the release of bullish economic data.",0.2,0.2,Positive
1687,Money Control,silver,12.05.2017,"According to Sushil Finance, expect silver prices to trade negative on the back of US Interest rate outlook.",-0.15,0.2,Negative
1692,Money Control,silver,11.05.2017,"According to Achiievers Equities, Silver prices traded in range with supportive mode as more upheaval in Washington turned investors away from riskier assets in favor of haven plays.",0.5,0.75,Positive
1699,Money Control,silver,10.05.2017,"According to Achiievers Equities, Silver fell as the election of centrist Emmanuel Macron as French president reduced demand for bullion as a safe haven.",0.25,0.25,Positive
1709,Money Control,silver,09.05.2017,"According to Achiievers Equities, Silver recovered from the day's low to as markets reacted to Emmanuel Macron’s swift victory in the second round of France’s presidential election.",-0.066666667,0.233333333,Negative
1717,Money Control,silver,08.05.2017,"According to Achiievers Equities, Silver prices dropped as expectations for a June rate hike surged, after the U.S. economy created more jobs than expected in April.",0.2,0.45,Positive
1721,Money Control,silver,08.05.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of short covering after drop in prices.",0,0.15,Neutral
1727,Money Control,silver,05.05.2017,"According to Achiievers Equities, Silver prices dropped after the Federal Reserve left the door open to raising interest rates in June.",0,0.25,Neutral
1729,Money Control,silver,05.05.2017,"According to Sushil Finance, expect silver prices to trade negative on the back of FOMC statements.",-0.15,0.2,Negative
1745,Money Control,silver,03.05.2017,"According to Achiievers Equities,Silver dropped as the dollar firmed as the chance of a U.S. government shutdown receded and as stronger equities dampened demand.",0,0,Neutral
1748,Money Control,silver,03.05.2017,"According to Sushil Finance, We expect silver prices to trade sideways on the back of profit booking after up-move.",0,0,Neutral
1754,Money Control,silver,02.05.2017,Watch the interview of Sumeet Bagadia of Choice Broking with Manisha Gupta on CNBC-TV18. He spoke about the current trend in commodities markets.,0,0.4,Neutral
1757,Money Control,silver,02.05.2017,"According to Achiievers Equities, Silver dropped as pressure seen after U.S. congressional leaders reached an agreement to fund the government through the fall.",0,0,Neutral
1769,Money Control,silver,28.04.2017,"According to Achiievers Equities, Silver remained under pressure after U.S. President Donald Trump announced unfunded tax cuts, while comments from ECB’s Draghi weakened the euro.",0,0,Neutral
1777,Money Control,silver,27.04.2017,"According to Achiievers Equities, Silver dropped as investors dumped safe-haven assets amid reduced concerns over the French presidential elections.",0,0,Neutral
1780,Money Control,silver,26.04.2017,"According to Achiievers Equities, Silver dropped despite a slump in the dollar, as investors continued to favour riskier assets for the second straight day.",0.1,0.2,Positive
1789,Money Control,silver,25.04.2017,"According to Achiievers Equities, Silver opened with gap down as investors pulled out of safe-haven assets after pro- European candidate Emmanuel Macron won the first round.",-0.026388889,0.255555556,Negative
1795,Money Control,silver,24.04.2017,"According to Achiievers Equities, Silver dropped as investors kept an eye on the upcoming French presidential vote that is seen as too close to call.",0,0,Neutral
1800,Money Control,silver,24.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after up-move.",0,0,Neutral
1808,Money Control,silver,21.04.2017,"According to Achiievers Equities, Silver prices edged lower amid fading demand despite jitters ahead of the French presidential election and ongoing geopolitical tensions over North Korea.",0,0,Neutral
1809,Money Control,silver,21.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after up-move.",0,0,Neutral
1820,Money Control,silver,20.04.2017,"According to Achiievers Equities, Silver dropped as demand for the precious metal eased, after the dollar bounced off session lows, despite ongoing geopolitical tensions over North Korea.",0.5,1,Positive
1824,Money Control,silver,20.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after up-move.",0,0,Neutral
1831,Money Control,silver,19.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after up-move.",0,0,Neutral
1836,Money Control,silver,19.04.2017,"According to Achiievers Equities, Silver prices dropped as election uncertainty in France and the United Kingdom weighed on investors’ sentiment after the Easter long weekend.",-0.05,0.4,Negative
1842,Money Control,silver,18.04.2017,"According to Achiievers Equities, Silver prices traded in range as a weaker dollar and tensions on the Korean peninsula supported demand.",0,0,Neutral
1845,Money Control,silver,18.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after up-move.",0,0,Neutral
1850,Money Control,silver,17.04.2017,"According to Achiievers Equities, Silver prices gained as investors continued to back the precious metal amid geopolitical concerns while mostly upbeat economic data failed to weigh on sentiment.",0.14,0.4,Positive
1853,Money Control,silver,17.04.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of political tensions.",0.075757576,0.215151515,Positive
1869,Money Control,silver,13.04.2017,"According to Achiievers Equities, Silver settled flat after prices seen supported as heightened geopolitical tensions underpinned safe haven demand for the precious metal.",0.325,0.541666667,Positive
1877,Money Control,silver,12.04.2017,"According to Achiievers Equities, Silver rallied as support seen after investors fled risk assets and sought refuge in safe- haven gold amid rising geopolitical tensions.",0.5,0.5,Positive
1882,Money Control,silver,11.04.2017,Watch the interview of Sumeet Bagadia of Choice Broking with Reema Tendulkar and Nigel D'Souza on CNBC-TV18. He spoke about the current trend in commodities market.,0,0.4,Neutral
1884,Money Control,silver,11.04.2017,"According to Achiievers Equities, Silver prices edged lower as the U.S. dollar continued to remain supported by Federal Reserve policy tightening expectations.",0,0,Neutral
1887,Money Control,silver,11.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after an up-move.",0,0,Neutral
1893,Money Control,silver,10.04.2017,"According to Achiievers Equities, Silver dropped as the safe haven demand faded and the dollar index climbed to three-week highs.",0.5,0.5,Positive
1900,Money Control,silver,10.04.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of US military strikes in Syria.",0.042424242,0.215151515,Positive
1905,Money Control,silver,07.04.2017,"According to Achiievers Equities, Silver prices dropped as new applications for U.S. unemployment benefits last week recorded their biggest drop in nearly two years.",0.078787879,0.307070707,Positive
1920,Money Control,silver,06.04.2017,"According to Achiievers Equities, Silver prices eased pressured by a surge in the dollar, after the release of bullish U.S. private sector job growth.",0,0.375,Neutral
1928,Money Control,silver,05.04.2017,"According to Achiievers Equities, Silver prices gained after the release of mixed economic data while a softer dollar limited selling pressure in the metal.",0.042857143,0.197619048,Positive
1940,Money Control,silver,03.04.2017,"According to Achiievers Equities, Silver prices gained buoyed by a weaker dollar, after the release of mostly negative economic data.",-0.05,0.3,Negative
1945,Money Control,silver,03.04.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking.",0,0,Neutral
1957,Money Control,silver,31.03.2017,"According to Achiievers Equities, Silver prices dropped as the dollar strengthened amid expectations for more U.S. interest rate hikes this year.",0.5,0.5,Positive
1963,Money Control,silver,31.03.2017,"According to Sushil Finance, expect silver prices to trade negative on the back of profit booking.",-0.15,0.2,Negative
1971,Money Control,silver,30.03.2017,"According to Achiievers Equities, Silver prices dropped as pressure seen as stronger than expected U.S. home sales data supported the narrative of a stronger U.S. economy.",-0.1,0.4,Negative
1975,Money Control,silver,30.03.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of dovish US fed interest rate outlook.",0.113636364,0.272727273,Positive
1985,Money Control,silver,29.03.2017,"According to Achiievers Equities, Silver remained supported as investors looked to see if U.S. President Donald Trump would be able to enact promised tax cuts and infrastructure spending.",0.5,0.625,Positive
1988,Money Control,silver,29.03.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of dovish US fed interest rate outlook.",0.113636364,0.272727273,Positive
1999,Money Control,silver,28.03.2017,"According to Achiievers Equities, Silver prices gained as growing doubts about U.S. President Donald Trump's pro-growth economic agenda prompted investors rush to safe havens.",0.35,0.35,Positive
2005,Money Control,silver,27.03.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of dovish US fed interest rate outlook.",0.113636364,0.272727273,Positive
2013,Money Control,silver,27.03.2017,"According to Achiievers Equities, Silver gained buoyed by a dip in the dollar, as weaker than expected economic data weighed on the greenback.",0.05,0.3,Positive
2020,Money Control,silver,24.03.2017,"According to Achiievers Equities, Silver settled flat as dollar steadied, amid a mixed batch of U.S. economic data, ahead of a key House vote on a healthcare bill to repeal and replace Obamacare.",0.04375,0.39375,Positive
2032,Money Control,silver,23.03.2017,"According to Sushil Finance, expect silver prices to trade sideways on the back of profit booking after sharp up-move.",-0.0625,0.375,Negative
2035,Money Control,silver,23.03.2017,"According to Achiievers Equities, Silver pared gains to settle flat amid doubts over President Trump's economic policies while weaker than expected economic data supported upside momentum.",0.06875,0.23125,Positive
2046,Money Control,silver,22.03.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of fading expectations for near-term U.S. interest rate hikes.",0.113636364,0.272727273,Positive
2047,Money Control,silver,22.03.2017,"According to Sushil Finance, expect silver prices to trade positive on the back of fading expectations for near-term U.S. interest rate hikes.",0.113636364,0.272727273,Positive
2048,Money Control,silver,22.03.2017,"According to Achiievers Equities, Silver gained as fading expectations for near-term U.S. interest rate hikes pushed the dollar lower.",0,0,Neutral
2054,Money Control,silver,21.03.2017,"According to Achiievers Equities, Silver settled flat with the focus ahead on Fed policymaker comments this week.",-0.025,0.125,Negative
2056,Money Control,silver,21.03.2017,"According to Sushil Finance, expect silver prices to trade negative on the back of profit booking after up-move in prices.",-0.15,0.2,Negative
2061,Money Control,silver,21.03.2017,"Watch the interview of Kunal Shah, Head of Commodities &amp; Currency Research at Nirmal Bang Commodities with Manisha Gupta on CNBC-TV18. He spoke about the current trend in commodities market.",0,0.4,Neutral
2067,Money Control,silver,20.03.2017,"According to Sushil Finance, We expect base metal prices to trade negative on the back of worries about demand from China.",-0.366666667,0.466666667,Negative
2072,Money Control,silver,20.03.2017,"According to Achiievers Equities, Silver prices gained as weakness in the U.S. dollar, following Wednesday’s Federal Reserve decision, provided a runway for gains.",0,0.1,Neutral
