code,name,description,refreshed_at,from_date,to_date
AGMG2019,"Silver Micro Futures, February 2019, AGMG2019, MCX","Historical MCX Futures Prices: Silver Micro Futures, February 2019, AGMG2019, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",19-11-2018 23:08,01-06-2018,19-11-2018
AGMJ2014,"Silver Micro Futures, April 2014, AGMJ2014, MCX","Historical MCX Futures Prices: Silver Micro Futures, April 2014, AGMJ2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Prev. Day Open Interest are in Lots.",30-04-2014 16:25,06-12-2013,30-04-2014
AGMJ2015,"Silver Micro Futures, April 2015, AGMJ2015, MCX","Historical MCX Futures Prices: Silver Micro Futures, April 2015, AGMJ2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-04-2015 11:03,01-10-2014,30-04-2015
AGMJ2016,"Silver Micro Futures, April 2016, AGMJ2016, MCX","Historical MCX Futures Prices: Silver Micro Futures, April 2016, AGMJ2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",02-05-2016 11:03,04-08-2015,29-04-2016
AGMJ2017,"Silver Micro Futures, April 2017, AGMJ2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, April 2017, AGMJ2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-04-2017 23:02,02-08-2016,28-04-2017
AGMJ2018,"Silver Micro Futures, April 2018, AGMJ2018, MCX","Historical MCX Futures Prices: Silver Micro Futures, April 2018, AGMJ2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-04-2018 23:01,01-08-2017,30-04-2018
AGMJ2019,"Silver Micro Futures, April 2019, AGMJ2019, MCX","Historical MCX Futures Prices: Silver Micro Futures, April 2019, AGMJ2019, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",19-11-2018 23:08,01-08-2018,19-11-2018
AGMM2014,"Silver Micro Futures, June 2014, AGMM2014, MCX","Historical MCX Futures Prices: Silver Micro Futures, June 2014, AGMM2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-06-2014 16:01,06-12-2013,30-06-2014
AGMM2015,"Silver Micro Futures, June 2015, AGMM2015, MCX","Historical MCX Futures Prices: Silver Micro Futures, June 2015, AGMM2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-06-2015 11:02,01-10-2014,30-06-2015
AGMM2016,"Silver Micro Futures, June 2016, AGMM2016, MCX","Historical MCX Futures Prices: Silver Micro Futures, June 2016, AGMM2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-07-2016 22:02,01-10-2015,01-07-2016
AGMM2017,"Silver Micro Futures, June 2017, AGMM2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, June 2017, AGMM2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-06-2017 23:02,03-10-2016,30-06-2017
AGMM2018,"Silver Micro Futures, June 2018, AGMM2018, MCX","Historical MCX Futures Prices: Silver Micro Futures, June 2018, AGMM2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",29-06-2018 23:06,03-10-2017,29-06-2018
AGMM2019,"Silver Micro Futures, June 2019, AGMM2019, MCX","Historical MCX Futures Prices: Silver Micro Futures, June 2019, AGMM2019, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",19-11-2018 23:08,03-10-2018,19-11-2018
AGMQ2014,"Silver Micro Futures, August 2014, AGMQ2014, MCX","Historical MCX Futures Prices: Silver Micro Futures, August 2014, AGMQ2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",29-08-2014 16:01,11-04-2014,29-08-2014
AGMQ2015,"Silver Micro Futures, August 2015, AGMQ2015, MCX","Historical MCX Futures Prices: Silver Micro Futures, August 2015, AGMQ2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-08-2015 11:02,01-12-2014,31-08-2015
AGMQ2016,"Silver Micro Futures, August 2016, AGMQ2016, MCX","Historical MCX Futures Prices: Silver Micro Futures, August 2016, AGMQ2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-09-2016 22:01,01-12-2015,01-09-2016
AGMQ2017,"Silver Micro Futures, August 2017, AGMQ2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, August 2017, AGMQ2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-09-2017 23:01,23-11-2016,01-09-2017
AGMQ2018,"Silver Micro Futures, August 2018, AGMQ2018, MCX","Historical MCX Futures Prices: Silver Micro Futures, August 2018, AGMQ2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-08-2018 23:03,01-12-2017,30-08-2018
AGMV2017,"Silver Micro Futures, October 2017, AGMV2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, October 2017, AGMV2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-10-2017 23:01,16-10-2017,31-10-2017
AGMX2014,"Silver Micro Futures, November 2014, AGMX2014, MCX","Historical MCX Futures Prices: Silver Micro Futures, November 2014, AGMX2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-11-2014 22:37,07-05-2014,28-11-2014
AGMX2015,"Silver Micro Futures, November 2015, AGMX2015, MCX","Historical MCX Futures Prices: Silver Micro Futures, November 2015, AGMX2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-12-2015 11:02,03-03-2015,30-11-2015
AGMX2016,"Silver Micro Futures, November 2016, AGMX2016, MCX","Historical MCX Futures Prices: Silver Micro Futures, November 2016, AGMX2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",02-12-2016 20:03,01-03-2016,02-12-2016
AGMX2017,"Silver Micro Futures, November 2017, AGMX2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, November 2017, AGMX2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",24-01-2018 20:18,02-03-2017,01-12-2017
AGMX2018,"Silver Micro Futures, November 2018, AGMX2018, MCX","Historical MCX Futures Prices: Silver Micro Futures, November 2018, AGMX2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",19-11-2018 23:08,01-03-2018,19-11-2018
AGMZ2017,"Silver Micro Futures, December 2017, AGMZ2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, December 2017, AGMZ2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-01-2018 23:01,04-12-2017,01-01-2018
AGN2014,"Silver 1000 Futures, July 2014, AGN2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, July 2014, AGN2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-07-2014 16:26,02-06-2014,31-07-2014
AGN2016,"Silver 1000 Futures, July 2016, AGN2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, July 2016, AGN2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-08-2016 22:01,29-09-2015,01-08-2016
AGN2017,"Silver 1000 Futures, July 2017, AGN2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, July 2017, AGN2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-08-2017 14:35,02-08-2016,31-07-2017
AGQ2014,"Silver 1000 Futures, August 2014, AGQ2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, August 2014, AGQ2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-08-2014 16:00,02-07-2014,28-08-2014
AGQ2016,"Silver 1000 Futures, August 2016, AGQ2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, August 2016, AGQ2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-09-2016 22:01,29-09-2015,01-09-2016
AGQ2017,"Silver 1000 Futures, August 2017, AGQ2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, August 2017, AGQ2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-09-2017 23:01,02-09-2016,01-09-2017
AGU2014,"Silver 1000 Futures, September 2014, AGU2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, September 2014, AGU2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-09-2014 16:07,29-08-2014,30-09-2014
AGU2015,"Silver 1000 Futures, September 2015, AGU2015, MCX","Historical MCX Futures Prices: Silver 1000 Futures, September 2015, AGU2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-10-2015 18:10,29-09-2015,30-09-2015
AGU2016,"Silver 1000 Futures, September 2016, AGU2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, September 2016, AGU2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-09-2016 22:02,01-10-2015,30-09-2016
AGU2017,"Silver 1000 Futures, September 2017, AGU2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, September 2017, AGU2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",29-09-2017 23:01,03-10-2016,29-09-2017
AGV2014,"Silver 1000 Futures, October 2014, AGV2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, October 2014, AGV2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-10-2014 20:36,11-09-2014,31-10-2014
AGV2015,"Silver 1000 Futures, October 2015, AGV2015, MCX","Historical MCX Futures Prices: Silver 1000 Futures, October 2015, AGV2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",02-11-2015 11:42,29-09-2015,30-10-2015
AGV2016,"Silver 1000 Futures, October 2016, AGV2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, October 2016, AGV2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-10-2016 22:02,02-11-2015,28-10-2016
AGV2017,"Silver 1000 Futures, October 2017, AGV2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, October 2017, AGV2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",24-01-2018 20:18,01-11-2016,31-10-2017
AGX2014,"Silver 1000 Futures, November 2014, AGX2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, November 2014, AGX2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-11-2014 22:37,16-09-2014,28-11-2014
AGX2015,"Silver 1000 Futures, November 2015, AGX2015, MCX","Historical MCX Futures Prices: Silver 1000 Futures, November 2015, AGX2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-12-2015 11:02,29-09-2015,30-11-2015
AGX2016,"Silver 1000 Futures, November 2016, AGX2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, November 2016, AGX2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",02-12-2016 20:03,01-12-2015,02-12-2016
AGX2017,"Silver 1000 Futures, November 2017, AGX2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, November 2017, AGX2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",24-01-2018 20:18,23-11-2016,01-12-2017
AGZ2013,"Silver 1000 Futures, December 2013, AGZ2013, MCX","Historical MCX Futures Prices: Silver 1000 Futures, December 2013, AGZ2013, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",09-01-2014 16:52,06-12-2013,30-12-2013
AGZ2014,"Silver 1000 Futures, December 2014, AGZ2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, December 2014, AGZ2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-12-2014 11:10,17-10-2014,31-12-2014
AGZ2015,"Silver 1000 Futures, December 2015, AGZ2015, MCX","Historical MCX Futures Prices: Silver 1000 Futures, December 2015, AGZ2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-01-2016 11:02,29-09-2015,31-12-2015
AGZ2016,"Silver 1000 Futures, December 2016, AGZ2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, December 2016, AGZ2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-12-2016 03:04,01-01-2016,30-12-2016
