Serial,Source,Commodity,Date,Sentence,Polarity,Subjectivity,Sentiment_Type
197,Money Control,oil,04.10.2018,But the imminent return of U.S. sanctions on Iran and bottlenecks keeping U.S. oil from getting to market have fueled a rally that has taken benchmark oil prices to four-year highs.,0,0,Neutral
198,Money Control,oil,04.10.2018,"Oil for October delivery also moved down by Rs 7, or 0.12 per cent, to Rs 5,640 per barrel in a business volume of 4,447 lots.",-0.155555556,0.288888889,Negative
202,Money Control,oil,04.10.2018,"Brent crude oil futures were trading at $85.85 per barrel at 0104 GMT, down 44 cents, or 0.5 percent, from their last close.",-0.285185185,0.451851852,Negative
205,Money Control,oil,03.10.2018,"The oil for delivery in November, too, rose by a similar margin, to Rs 5,536 per barrel in 56 lots.",0.3,0.675,Positive
206,Money Control,oil,03.10.2018,"With oil at a four-year high of $85 a barrel, exploration departments are urging company boards to drill more, wages are creeping higher, service companies say rates will have to rise and some investors say Big Oil must start growing again soon.",0.2275,0.41,Positive
207,Money Control,oil,03.10.2018,"Brent crude oil futures were trading at $84.73 per barrel at 0103 GMT, down 7 cents from their last close.",-0.285185185,0.451851852,Negative
208,Money Control,oil,02.10.2018,"US West Texas Intermediate (WTI) crude futures were flat at $75.20 a barrel, having hit a four-year high of $75.91 earlier in the session",-0.14125,0.54125,Negative
210,Money Control,oil,02.10.2018,"HSBC said in its fourth quarter Global Economics outlook that ""our oil analysts believe there is now a growing risk it (crude) could touch $100 per barrel"".",-0.233333333,0.333333333,Negative
212,Money Control,oil,01.10.2018,"Benchmark Brent crude oil futures rose to as much as $83.27 a barrel and were at $83.21 at 0339 GMT, up 48 cents, or 0.6 percent from their last close.",0.025,0.554166667,Positive
214,Money Control,oil,01.10.2018,"Brent crude oil futures were trading at $83.24 per barrel at 0228 GMT, up 51 cents, or 0.3 percent, their highest level since November 2014.",-0.7,1,Negative
216,Money Control,oil,28.09.2018,"A survey of 50 economists and analysts forecast Brent crude to average $73.48 a barrel in 2018, up from the $72.71 forecast in August and the $72.68 average so far this year. Brent was forecast to average $73.75 in 2019.",-0.21,0.64,Negative
217,Money Control,oil,28.09.2018,"Import-reliant economies are already aching under oil prices that have risen above $80 per barrel this week, the most since late 2014.",0.066666667,0.4,Positive
221,Money Control,oil,28.09.2018,"The oil for delivery in November was also trading higher by Rs 17i, or 0.32 per cent, to Rs 5,264 in 11 lots.",0.25,0.5,Positive
222,Money Control,oil,28.09.2018,"The most-active Brent crude futures contract, for December, had risen 18 cents, or 0.22 percent, to $81.56 per barrel by 0126 GMT.",-0.7,1,Negative
224,Money Control,oil,27.09.2018,"At the National Commodity and Derivatives Exchange, refined soya oil for delivery in November shed 75 paise, or 0.10 per cent, to Rs 748 per 10 kg with an open interest of 18,390 lots.",0,0.5,Neutral
225,Money Control,oil,27.09.2018,"At the Multi Commodity Exchange, crude oil for delivery in October went up by Rs 43, or 0.83 per cent to Rs 5,255 per barrel in a business turnover of 476 lots.",-0.7,1,Negative
226,Money Control,oil,27.09.2018,"According to Angel Commodities, MCX CPO edged higher for the third consecutive day on Tuesday tracking positive movement in Malaysian CPO.",0.159090909,0.348484848,Positive
227,Money Control,oil,27.09.2018,"Front-month Brent crude futures were at $82.17 per barrel at 0133 GMT, up by 83 cents, or 1 percent from their last close, just off Tuesday's four-year highs.",-0.35,0.533333333,Negative
228,Money Control,oil,26.09.2018,India has close diplomatic ties with Iran and is also building the strategic Chabahar port in the Middle Eastern country. It is expected to be operational by 2019.,-0.05,0.2,Negative
229,Money Control,oil,26.09.2018,"Brent crude futures were down 4 cents at $81.83 a barrel by 0342 GMT, after gaining nearly 1 percent the previous session. Brent rose on Tuesday to its highest since November 2014 at $82.55 per barrel.",-0.064444444,0.561111111,Negative
231,Money Control,oil,26.09.2018,IIF said Iran's crude oil and condensates exports were 2.8 mbd in April and are now estimated at 2.0 mbd in September.,-0.7,1,Negative
232,Money Control,oil,25.09.2018,The move will help refiners in Iran's second biggest oil market to boost purchases from alternative sources,0,0,Neutral
235,Money Control,oil,25.09.2018,"Brent crude futures were at $81.42 per barrel at 0315 GMT, up 22 cents, or 0.3 percent, and close to the intraday peak reached the previous day of $81.48, the highest since November 2014.",-0.433333333,0.583333333,Negative
236,Money Control,oil,25.09.2018,"US West Texas Intermediate (WTI) crude futures were at $72.22 a barrel, up 14 cents, or 0.2 percent from their last settlement.",-0.35,0.533333333,Negative
237,Money Control,oil,24.09.2018,OPEC and non-OPEC states gathered in Algiers on September 23 for a meeting that ended with no formal recommendation for any additional supply boost to counter falling supply from Iran.,0,0,Neutral
238,Money Control,oil,24.09.2018,Trade war between the US and China continues to escalate. This might curtail crude oil demand.,-0.7,1,Negative
239,Money Control,oil,24.09.2018,Almost 2 million barrels per day (bpd) of crude could be taken out of the market as a result of the US sanctions against Iran by the end of the fourth quarter this year.,-0.35,0.5,Negative
241,Money Control,oil,24.09.2018,Chen Bo also said China would reduce Iranian oil imports because of looming US sanctions against the Middle East country due to start in November.,-0.0625,0.1875,Negative
243,Money Control,oil,24.09.2018,"In its annual World Oil Outlook, the Organisation of Petroleum Exporting Countries forecast world supply of all hydrocarbons (primarily oil and liquified natural gas) would rise from a current 98.4 million barrels per day (mbd) to 104.5 million by 2023, and 111.9 million by 2040.",0.166666667,0.433333333,Positive
244,Money Control,oil,24.09.2018,"Sunday's meeting in Algiers brought together OPEC oil ministers and non-OPEC signatories to the 2016 agreement, as they seek to extend their cooperation.",0,0,Neutral
248,Money Control,oil,21.09.2018,International benchmark Brent crude for November delivery was up 4 cents at $78.74 a barrel by 0053 GMT.,-0.35,0.5,Negative
250,Money Control,oil,20.09.2018,"US West Texas Intermediate crude was up 55 cents, or 0.8 percent, at $71.67 a barrel, after rising nearly 2 percent the previous session.",-0.255555556,0.522222222,Negative
251,Money Control,oil,19.09.2018,"Brent crude futures were down 9 cents at $78.92 per barrel 0334 GMT, after rising 1.3 percent in the previous session.",-0.340740741,0.485185185,Negative
252,Money Control,oil,18.09.2018,"Brent crude futures had dropped 29 cents, or 0.37 percent, to $77.76 per barrel by 0632 GMT.",-0.7,1,Negative
256,Money Control,oil,17.09.2018,"Brent crude oil futures dipped 16 cents, or 0.2 percent to $77.93 a barrel by 0035 GMT.",-0.7,1,Negative
260,Money Control,oil,14.09.2018,"Brent crude was up 23 cents, or 0.3 percent, at $78.41 a barrel by 0122 GMT, after falling 2 percent on Thursday. The global benchmark the day before rose to its highest since May 22 at $80.13 a barrel.",-0.033333333,0.65,Negative
261,Money Control,oil,13.09.2018,"Benchmark Brent crude oil was down 65 cents a barrel at $79.09 by 1200 GMT. US light crude fell $1.15 to a low of $69.22 a barrel and was last at $69.50, down 87 cents.",-0.187301587,0.520634921,Negative
262,Money Control,oil,13.09.2018,"The falls were due to concerns of a potential slowdown in fuel demand growth because of trade disputes between the United States and China, the world's two largest oil consumers, as well as emerging market turmoil.",-0.0625,0.6875,Negative
264,Money Control,oil,12.09.2018,"US West Texas Intermediate (WTI) crude futures were at $69.84 per barrel at 0428 GMT, up 59 cents, or 0.9 percent, from their last settlement. WTI futures gained 2.5 percent in the previous session.",-0.288888889,0.411111111,Negative
265,Money Control,oil,12.09.2018,"The comments come amid oil prices eyeing $80 per barrel, up from little over $60 in February, amid supply disruptions and expected US sanctions against Iran.",-0.14375,0.45,Negative
266,Money Control,oil,12.09.2018,"Prices were also pushed up by Hurricane Florence, which is expected to make landfall on the US East Coast on Friday, and which has caused fuel shortages following the evacuation of millions of households and businesses.",-0.05,0.25,Negative
268,Money Control,oil,11.09.2018,"US West Texas Intermediate (WTI) crude futures were at $67.61 per barrel at 0112 GMT, up 7 cents from their last settlement. Brent crude futures climbed 11 cents to $77.48 a barrel.",-0.466666667,0.688888889,Negative
269,Money Control,oil,10.09.2018,"The initiative at village Bohali with a proposed capacity of 100 kilolitres of ethanol per day will manage crop residue and prevent straw burning before the upcoming paddy season, an official release said.",0,0,Neutral
271,Money Control,oil,10.09.2018,"US energy companies cut two oil rigs last week, bringing the total count to 860, energy services firm Baker Hughes said on Friday.",-0.066666667,0.405555556,Negative
272,Money Control,oil,07.09.2018,"According to Angel Commodities, MCX CPO closed with gains on Thursday supported by weaker rupees and improved demand form the stockists ahead of festive season.",-0.1,0.1,Negative
273,Money Control,oil,07.09.2018,"US West Texas Intermediate (WTI) crude futures were at $67.78 per barrel at 0448 GMT, up just 1 cent from their last settlement. International Brent crude futures dipped 8 cents to $76.42 a barrel.",-0.35,0.516666667,Negative
275,Money Control,oil,07.09.2018,"US West Texas Intermediate (WTI) crude futures were at $67.79 per barrel at 0303 GMT, up just 2 cents from their last settlement.",-0.35,0.533333333,Negative
279,Money Control,oil,05.09.2018,"US West Texas Intermediate (WTI) crude futures were at $69.34 per barrel at 0036 GMT, down 53 cents, or 0.8 percent, from their last settlement.",-0.285185185,0.451851852,Negative
280,Money Control,oil,04.09.2018,"U.S. light crude rose $1.31 a barrel from Friday's close to a peak of $71.11, its highest since mid-July, before easing to around $71.00, up $1.20, by 0900 GMT. U.S. markets were closed on Monday for Labor Day.",0.05,0.6875,Positive
281,Money Control,oil,04.09.2018,"Anadarko Petroleum Corp said on Monday it had evacuated and shut production at two oil platforms in the northern Gulf of Mexico ahead of the approach of Gordon, which is expected to come ashore as a hurricane.",-0.1,0.4,Negative
283,Money Control,oil,03.09.2018,"New Delhi's attempt to keep Iranian oil flowing mirrors a step by China, where buyers are shifting nearly all their Iranian oil imports to vessels owned by National Iranian Tanker Co (NITC).",0.118181818,0.427272727,Positive
285,Money Control,oil,03.09.2018,"Saudi Arabia, Kuwait and the United Arab Emirates are the only three countries that have the capacity to increase oil production, he said at an oil conference in Oman.",0,1,Neutral
286,Money Control,oil,03.09.2018,"International Brent crude oil futures were at $77.43 per barrel at 0222 GMT, down 21 cents, or 0.3 percent, from their last close.",-0.213888889,0.338888889,Negative
287,Money Control,oil,02.09.2018,"The IEA estimates crude oil prices to rise further on account of strong global demand from China and India. On the supply side, however, crude oil production in Iran and Venezuela are likely to decline.",-0.161111111,0.705555556,Negative
291,Money Control,oil,31.08.2018,"International Brent crude oil futures were at $77.70 per barrel at 0232 GMT, down 7 cents from their last close.",-0.213888889,0.338888889,Negative
292,Money Control,oil,30.08.2018,US West Texas Intermediate (WTI) crude futures were up 14 cents at $69.65 a barrel.The rises came after crude hit multi-week highs during the previous session.,-0.522222222,0.722222222,Negative
295,Money Control,oil,29.08.2018,"Traders said crude prices have been supported by the prospect of US sanctions against Iran, which will start to target its oil industry from November.",-0.7,1,Negative
296,Money Control,oil,28.08.2018,"Iran has said if it cannot sell its oil due to US pressure, then no other regional country will be allowed to do so either, threatening to block the Strait of Hormuz.",-0.03125,0.375,Negative
297,Money Control,oil,28.08.2018,"Vedanta, which had put in bids for all the 55 blocks, won right to explore and produce oil and gas in 41 of them.",0.285714286,0.535714286,Positive
298,Money Control,oil,28.08.2018,The United States has asked buyers of Iranian oil to cut imports to zero starting in November to force Tehran to negotiate a new nuclear agreement and to curb its influence in the Middle East.,0.045454545,0.184848485,Positive
300,Money Control,oil,27.08.2018,US West Texas Intermediate (WTI) crude futures were down 9 cents at $68.63 a barrel.,-0.427777778,0.644444444,Negative
302,Money Control,oil,24.08.2018,The decision to start buying crude oil again from the United States comes after Beijing earlier in August excluded it from its import tariff list.,-0.35,0.75,Negative
303,Money Control,oil,24.08.2018,"US West Texas Intermediate (WTI) crude futures were at $67.93 per barrel, up 10 cents. Both oil benchmarks saw low liquidity during early trading on Friday.",-0.2,0.533333333,Negative
305,Money Control,oil,22.08.2018,"A weaker US dollar makes oil, which is priced in dollars, less expensive to buyers in other currencies.",-0.263888889,0.380555556,Negative
308,Money Control,oil,21.08.2018,Traders said prices were lifted by expectations of a drop in supply once US sanctions against major oil exporter Iran take effect from November.,0.0625,0.5,Positive
310,Money Control,oil,21.08.2018,"China, which has cut imports of US crude amid a trade war with Washington, has said it opposes unilateral sanctions and defended its commercial ties with Iran.",-0.4,0.566666667,Negative
