serial,Source,commodity,Date,Sentence,polarity,subjectivety,Sentiment_type
3753,Money Control,natural gas,12.07.2016,Natural gas futures struggle as forecasts point to mild July weather,0.216666667,0.45,Positive
3759,Money Control,natural gas,12.07.2016,"According to Sushil Finance, We expect Natural gas prices to trade negative on the back of unfavorable weather conditions.",-0.066666667,0.266666667,Negative
3789,Money Control,natural gas,07.07.2016,Natural gas futures extend gains after bullish weekly storage data,0.1,0.4,Positive
3798,Money Control,natural gas,06.07.2016,Natural gas futures slump to 1-week low as forecasts turn cooler,0.05,0.35,Positive
3814,Money Control,natural gas,04.07.2016,Natural gas futures ease off 13-month high in subdued trade,0.13,0.47,Positive
3841,Money Control,natural gas,30.06.2016,Natural gas futures stay higher after bullish weekly storage data,0.175,0.45,Positive
3907,Money Control,natural gas,23.06.2016,Natural gas futures edge lower after bearish weekly storage data,0.1,0.4,Positive
3912,Money Control,natural gas,23.06.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  rise in  demand for natural gas.",0.106818182,0.336363636,Positive
3922,Money Control,natural gas,22.06.2016,Natural gas prices hover near 9-month highs ahead of storage data,0.1,0.4,Positive
3946,Money Control,natural gas,20.06.2016,Natural gas futures climb to 9-month highs on warm summer outlook,0.35,0.5,Positive
3949,Money Control,natural gas,20.06.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  rise in  demand for natural gas.",0.106818182,0.336363636,Positive
4003,Money Control,natural gas,14.06.2016,U.S. natural gas prices hold near 9-month highs,0.1,0.4,Positive
4015,Money Control,natural gas,13.06.2016,U.S. natural gas prices jump to fresh 9-month highs on warm weather,0.333333333,0.5,Positive
4019,Money Control,natural gas,13.06.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  rise in demand for natural gas.",0.106818182,0.336363636,Positive
4051,Money Control,natural gas,09.06.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of rise in demand for natural gas.",0.106818182,0.336363636,Positive
4083,Money Control,natural gas,06.06.2016,"According to Sushil Finance, We expect Natural gas prices to trade sideways on the back of  profit  booking after sharp rise in prices.",-0.008333333,0.383333333,Negative
4104,Money Control,natural gas,02.06.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  rise in demand.",0.109090909,0.315151515,Positive
4118,Money Control,natural gas,30.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of short covering after slump in prices.",0.081818182,0.311363636,Positive
4179,Money Control,natural gas,20.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade  negative on the back of  lower  demand.",-0.066666667,0.266666667,Negative
4189,Money Control,natural gas,19.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade negative on the back of  lower demand.",-0.066666667,0.266666667,Negative
4195,Money Control,natural gas,18.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade  positive on the back of short  covering.",0.081818182,0.311363636,Positive
4203,Money Control,natural gas,17.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  s hort  covering.",0.109090909,0.315151515,Positive
4241,Money Control,natural gas,12.05.2016,"According to Sushil Finance, U.S. natural gas futures were little changed on Wednesday, settling at  their highest level for the month, on forecasts calling for continued  light heating and cooling demand over the next two weeks.",0.078125,0.4,Positive
4258,Money Control,natural gas,11.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  rise in demand for natural gas.",0.106818182,0.336363636,Positive
4304,Money Control,natural gas,04.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade sideways on the back of profit booking after sharp up - move in prices.",-0.008333333,0.383333333,Negative
4315,Money Control,natural gas,03.05.2016,"According to Sushil Finance, We expect Natural gas prices to trade negative on the back of  profit  booking after sharp up - move in prices.",-0.08125,0.3875,Negative
4467,Money Control,natural gas,10.04.2016,Natural gas futures - weekly outlook: April 11 - 15,0.1,0.4,Positive
4507,Money Control,natural gas,31.03.2016,Natural gas prices retreat from 7-week highs after U.S. storage data,0.1,0.4,Positive
4533,Money Control,natural gas,28.03.2016,U.S. natural gas futures fall to more than 2-week low,0.2,0.4,Positive
4552,Money Control,natural gas,23.03.2016,U.S. natural gas futures push higher ahead of storage report,0.175,0.45,Positive
4565,Money Control,natural gas,22.03.2016,U.S. natural gas futures sink to 1-week low,0.05,0.35,Positive
4594,Money Control,natural gas,17.03.2016,Natural gas prices reverse gains after U.S. storage data,0.1,0.4,Positive
4612,Money Control,natural gas,15.03.2016,Natural gas futures climb to 3-week high as V-shaped recovery continues,0.13,0.47,Positive
4637,Money Control,natural gas,10.03.2016,Natural gas prices reverse gains after U.S. storage data,0.1,0.4,Positive
4649,Money Control,natural gas,09.03.2016,U.S. natural gas futures extend rebound off 18-year lows,0.1,0.4,Positive
4669,Money Control,natural gas,07.03.2016,U.S. natural gas futures rally 4% after testing 1995 lows,0.1,0.4,Positive
4706,Money Control,natural gas,01.03.2016,Natural gas futures slide to fresh 17-year low on mild spring weather,0.183333333,0.425,Positive
4714,Money Control,natural gas,29.02.2016,U.S. natural gas futures sink to lowest since 1999,0.1,0.4,Positive
4721,Money Control,natural gas,28.02.2016,Natural gas futures - weekly outlook: February 29 - March 4,0.1,0.4,Positive
4765,Money Control,natural gas,21.02.2016,Natural gas futures - weekly outlook: February 22 - 26,0.1,0.4,Positive
4799,Money Control,natural gas,16.02.2016,Warm weather outlook drives natural gas prices to fresh 8-week lows,0.333333333,0.5,Positive
4826,Money Control,natural gas,14.02.2016,Natural gas futures - weekly outlook: February 15 - 19,0.1,0.4,Positive
4834,Money Control,natural gas,11.02.2016,Natural gas futures turn lower after U.S. storage data disappoints,0.1,0.4,Positive
4863,Money Control,natural gas,08.02.2016,Natural gas prices jump 4% as forecasts turn colder,0.1,0.4,Positive
4893,Money Control,natural gas,03.02.2016,Natural gas prices hold near 6-week low ahead of weekly storage report,0.066666667,0.366666667,Positive
4904,Money Control,natural gas,02.02.2016,Natural gas prices plunge below $2 on forecasts for warmer weather,0.1,0.4,Positive
4907,Money Control,natural gas,02.02.2016,"Way2Wealth has recommended to sell MCX Natural Gas Feb around Rs 148.50 with a stop loss of Rs 151.20 for the target price of Rs 143.30/140, in its research report dated Feb 02, 2015.",0.1,0.4,Positive
4913,Money Control,natural gas,01.02.2016,Natural gas prices plunge 6% on forecasts for less cold,-0.222222222,0.488888889,Negative
4955,Money Control,natural gas,25.01.2016,Natural gas prices fall as forecasts point to warmer days ahead,0.1,0.4,Positive
5040,Money Control,natural gas,13.01.2016,Natural gas futures push higher ahead of weekly storage report,0.175,0.45,Positive
5059,Money Control,natural gas,11.01.2016,Natural gas futures retreat after rallying to 11-week high,0.13,0.47,Positive
5067,Money Control,natural gas,10.01.2016,Natural gas futures - weekly outlook: January 11 - 15,0.1,0.4,Positive
5083,Money Control,natural gas,07.01.2016,Natural gas futures soar more than 4% after bullish U.S. storage data,0.3,0.45,Positive
5094,Money Control,natural gas,06.01.2016,Natural gas futures push higher ahead of weekly storage report,0.175,0.45,Positive
5102,Money Control,natural gas,05.01.2016,Natural gas futures slide 3% despite cold weather forecasts,-0.25,0.7,Negative
5124,Money Control,natural gas,31.12.2015,Natural gas futures hold on to strong gains after U.S. storage data,0.266666667,0.566666667,Positive
5135,Money Control,natural gas,30.12.2015,Natural gas futures tank 5.5% as cold weather seen short-lived,-0.25,0.7,Negative
5151,Money Control,natural gas,28.12.2015,Natural gas futures extend last week's rally to hit 3-week high,0.086666667,0.335555556,Positive
5155,Money Control,natural gas,28.12.2015,"Watch the interview of Hitesh Jain, Research Analyst- Commodity of IIFL with Ekta Batra and Anuj Singhal on CNBC-TV18. He spoke about the current trend in commodities markets.",0,0.4,Neutral
5161,Money Control,natural gas,27.12.2015,Natural gas futures - weekly outlook: December 28 - January 1,0.1,0.4,Positive
5178,Money Control,natural gas,22.12.2015,Natural gas futures resume decline after Monday's 8% surge,0.1,0.4,Positive
5204,Money Control,natural gas,17.12.2015,Natural gas futures turn lower after bearish U.S. storage data,0.1,0.4,Positive
5221,Money Control,natural gas,15.12.2015,Natural gas prices slide to fresh 14-year low for 2nd day,0.1,0.3,Positive
5235,Money Control,natural gas,14.12.2015,Natural gas prices sink 6% to hit 14-year low on warm winter outlook,0.233333333,0.433333333,Positive
5261,Money Control,natural gas,10.12.2015,Natural gas futures rally after U.S. storage withdrawal,0.1,0.4,Positive
5291,Money Control,natural gas,08.12.2015,Natural gas prices slide to 6-week lows on warm December weather,0.35,0.5,Positive
5304,Money Control,natural gas,07.12.2015,Natural gas sinks to 2-week lows on weak heating demand signals,-0.125,0.341666667,Negative
5317,Money Control,natural gas,06.12.2015,Natural gas futures - weekly outlook: December 7 - 11,0.1,0.4,Positive
5333,Money Control,natural gas,03.12.2015,Natural gas futures little changed despite supply withdrawal,-0.04375,0.45,Negative
5350,Money Control,natural gas,02.12.2015,Natural gas futures under pressure ahead of weekly storage report,0.1,0.4,Positive
5376,Money Control,natural gas,30.11.2015,Natural gas struggles near recent lows on warm December outlook,0.2,0.4125,Positive
5409,Money Control,natural gas,24.11.2015,Natural gas futures slump 3% with storage report in focus,0.1,0.4,Positive
5426,Money Control,natural gas,22.11.2015,Natural gas futures - weekly outlook: November 23 - 27,0.1,0.4,Positive
5441,Money Control,natural gas,18.11.2015,"Natural gas prices fluctuate with supply data, weather in focus",0.1,0.4,Positive
5479,Money Control,natural gas,12.11.2015,Natural gas prices fluctuate near 8-day low ahead of storage data,0.066666667,0.366666667,Positive
5486,Money Control,natural gas,11.11.2015,U.S. natural gas prices edge higher on shifting weather forecasts,0.175,0.45,Positive
5510,Money Control,natural gas,09.11.2015,U.S. natural gas futures sink 2% on warm November outlook,0.35,0.5,Positive
5559,Money Control,natural gas,04.11.2015,Natural gas futures rise 2% with storage report in focus,0.1,0.4,Positive
5604,Money Control,natural gas,01.11.2015,Natural gas futures - weekly outlook: November 2 - 6,0.1,0.4,Positive
5643,Money Control,natural gas,27.10.2015,U.S. natural gas futures crash to 3-year low on weather outlook,0.05,0.35,Positive
5690,Money Control,natural gas,21.10.2015,Natural gas futures sink to 3-year low with storage report in focus,0.05,0.35,Positive
5742,Money Control,natural gas,15.10.2015,Natural gas futures turn lower after bearish weekly storage data,0.1,0.4,Positive
5755,Money Control,natural gas,14.10.2015,U.S. natural gas futures push higher as market awaits storage report,0.175,0.45,Positive
5772,Money Control,natural gas,13.10.2015,U.S. natural gas futures rise for 6th straight day on demand hopes,0.15,0.4,Positive
5790,Money Control,natural gas,12.10.2015,U.S. natural gas futures rise to 8-day high on chilly weather forecasts,-0.113333333,0.613333333,Negative
5900,Money Control,natural gas,29.09.2015,U.S. natural gas futures fall towards 5-month low on demand outlook,0.05,0.35,Positive
5915,Money Control,natural gas,27.09.2015,Natural gas futures - weekly outlook: Sept. 28 - Oct. 2,0.1,0.4,Positive
5917,Money Control,natural gas,24.09.2015,Natural gas extends losses after storage data,0.1,0.4,Positive
5960,Money Control,natural gas,20.09.2015,Natural gas futures - weekly outlook: September 21 - 25,0.1,0.4,Positive
6026,Money Control,natural gas,10.09.2015,Natural gas futures extend gains after bullish weekly storage data,0.1,0.4,Positive
6040,Money Control,natural gas,09.09.2015,U.S. natural gas futures slump as market awaits storage report,0.1,0.4,Positive
6057,Money Control,natural gas,08.09.2015,U.S. natural gas futures rise on shifting weather forecasts,0.1,0.4,Positive
6092,Money Control,natural gas,04.09.2015,"According to Sushil Finance, Natural gas prices are expected to trade negative on the back of weak demand.",-0.135,0.365,Negative
6098,Money Control,natural gas,03.09.2015,Natural gas futures trim gains after weekly storage data,0.1,0.4,Positive
6123,Money Control,natural gas,01.09.2015,U.S. natural gas futures push higher in early trade,0.15,0.4,Positive
6163,Money Control,natural gas,27.08.2015,Natural gas futures extend losses after bearish storage data,0.1,0.4,Positive
6178,Money Control,natural gas,26.08.2015,U.S. natural gas futures inch up as market awaits storage report,0.1,0.4,Positive
6209,Money Control,natural gas,24.08.2015,U.S. natural gas futures slide to 11-week low as forecasts turn cooler,0.05,0.35,Positive
6226,Money Control,natural gas,23.08.2015,Natural gas futures - weekly outlook: August 24 - 28,0.1,0.4,Positive
6242,Money Control,natural gas,20.08.2015,Natural gas futures jump 2% after bullish storage data,0.1,0.4,Positive
6290,Money Control,natural gas,17.08.2015,"Way2Wealth has recommended to sell MCX Natural Gas Aug around Rs 185.80 with a stop loss of Rs 192 for the target price of Rs 174.50, in its research report dated Aug 17, 2015.",0.1,0.4,Positive
6343,Money Control,natural gas,11.08.2015,"According to Sushil Finance, Natural gas prices is expected to trade negative on the back of low demand for Natural gas.",-0.033333333,0.316666667,Negative
6347,Money Control,natural gas,10.08.2015,U.S. natural gas futures push higher on southern U.S. heatwave,0.116666667,0.3,Positive
6375,Money Control,natural gas,06.08.2015,Natural gas futures erase losses after bullish storage data,0.1,0.4,Positive
6418,Money Control,natural gas,03.08.2015,U.S. natural gas futures trade near 3-week low amid mild weather,0.133333333,0.4,Positive
6453,Money Control,natural gas,30.07.2015,Natural gas futures extend losses after storage data,0.1,0.4,Positive
6472,Money Control,natural gas,29.07.2015,U.S. natural gas futures rise as market awaits storage report,0.1,0.4,Positive
6531,Money Control,natural gas,23.07.2015,Natural gas futures briefly rise to 5-week high before turning lower,0.086666667,0.424444444,Positive
6588,Money Control,natural gas,19.07.2015,Natural gas futures - weekly outlook: July 20 - 24,0.1,0.4,Positive
6672,Money Control,natural gas,09.07.2015,Natural gas futures tumble to 4-week low after bearish storage data,0.05,0.35,Positive
6701,Money Control,natural gas,07.07.2015,U.S. natural gas futures hit 1-month low on mild July weather outlook,0.144444444,0.4,Positive
6786,Money Control,natural gas,24.06.2015,Natural gas futures push higher as market awaits storage report,0.175,0.45,Positive
6807,Money Control,natural gas,21.06.2015,Natural gas futures - weekly outlook: June 22 - 26,0.1,0.4,Positive
6820,Money Control,natural gas,18.06.2015,Natural gas futures extend losses after storage data,0.1,0.4,Positive
6846,Money Control,natural gas,16.06.2015,Natural gas futures rally to 3-week high before turning lower,0.13,0.47,Positive
6875,Money Control,natural gas,11.06.2015,Natural gas futures nurse losses after storage data,0.1,0.4,Positive
6890,Money Control,natural gas,10.06.2015,Natural gas futures hit 3-week high with weekly storage data eyed,0.13,0.47,Positive
6902,Money Control,natural gas,09.06.2015,Natural gas futures jump to 8-day high as forecasts turn warmer,0.13,0.47,Positive
6916,Money Control,natural gas,08.06.2015,Natural gas futures rally more than 2% in early trade,0.233333333,0.4,Positive
6942,Money Control,natural gas,04.06.2015,Natural gas futures plunge to 5-week low after bearish storage data,0.05,0.35,Positive
7002,Money Control,natural gas,27.05.2015,Natural gas futures rebound with all eyes on weekly storage data,0.1,0.4,Positive
7006,Money Control,natural gas,26.05.2015,Natural gas futures fall sharply as mild weather weighs,0.216666667,0.45,Positive
7060,Money Control,natural gas,19.05.2015,Natural gas futures rally to 4-month peak on warm weather outlook,0.35,0.5,Positive
7094,Money Control,natural gas,14.05.2015,Natural gas higher after storage data,0.175,0.45,Positive
7132,Money Control,natural gas,11.05.2015,Natural gas futures turn lower after hitting 7-week high,0.13,0.47,Positive
7140,Money Control,natural gas,10.05.2015,Natural gas futures - weekly outlook: May 11 - 15,0.1,0.4,Positive
7151,Money Control,natural gas,07.05.2015,Natural gas futures erase gains after bearish storage data,0.1,0.4,Positive
7162,Money Control,natural gas,06.05.2015,Natural gas trades near 6-week high with all eyes on weekly storage data,0.12,0.446666667,Positive
7173,Money Control,natural gas,05.05.2015,Natural gas futures trade near 6-week high on warm weather outlook,0.24,0.485,Positive
7182,Money Control,natural gas,04.05.2015,Natural gas futures drop from 5-week high on mild weather outlook,0.197777778,0.48,Positive
7207,Money Control,natural gas,29.04.2015,Natural gas futures rise with all eyes on weekly storage data,0.1,0.4,Positive
7220,Money Control,natural gas,28.04.2015,Natural gas futures bounce off 3-year low on bargain buying,0.05,0.35,Positive
7234,Money Control,natural gas,27.04.2015,Natural gas futures tumble 3% on forecasts for mild weather,0.216666667,0.45,Positive
7290,Money Control,natural gas,21.04.2015,Natural gas futures rebound as power plant demand climbs,0.1,0.4,Positive
7323,Money Control,natural gas,19.04.2015,Natural gas futures - weekly outlook: April 20 - 24,0.1,0.4,Positive
7342,Money Control,natural gas,16.04.2015,Natural gas futures tumble 2% after bearish storage data,0.1,0.4,Positive
7357,Money Control,natural gas,15.04.2015,Natural gas futures rise ahead of weekly storage data,0.1,0.4,Positive
7391,Money Control,natural gas,12.04.2015,Natural gas futures - weekly outlook: April 13 - 17,0.1,0.4,Positive
7414,Money Control,natural gas,08.04.2015,Natural gas futures fall on expectations for bearish supply report,0.1,0.4,Positive
7426,Money Control,natural gas,07.04.2015,Natural gas futures inch higher with weather outlook in focus,0.175,0.45,Positive
7440,Money Control,natural gas,06.04.2015,Natural gas futures fall more than 2% on warmer outlook,0.3,0.45,Positive
7469,Money Control,natural gas,31.03.2015,Natural gas futures fluctuate with weather forecasts in focus,0.1,0.4,Positive
7484,Money Control,natural gas,30.03.2015,Natural gas futures trade near 7-week low on warmer outlook,0.066666667,0.366666667,Positive
7511,Money Control,natural gas,26.03.2015,Natural gas futures down 1% after first inventory build of season,0.064814815,0.340740741,Positive
7618,Money Control,natural gas,16.03.2015,Natural gas futures under pressure as winter draws to an end,0.1,0.4,Positive
7683,Money Control,natural gas,09.03.2015,Natural gas futures plunge 5% as winter draws to an end,0.1,0.4,Positive
7695,Money Control,natural gas,08.03.2015,Natural gas futures - weekly outlook: March 9 - 13,0.1,0.4,Positive
7707,Money Control,natural gas,04.03.2015,Natural gas futures rally more than 2% on late winter storm,0.1,0.5,Positive
7736,Money Control,natural gas,01.03.2015,Natural gas futures - weekly outlook: March 2 - 6,0.1,0.4,Positive
7773,Money Control,natural gas,24.02.2015,"Natural gas wavers near 5-week high with weather, supplies in focus",0.12,0.446666667,Positive
7780,Money Control,natural gas,24.02.2015,"Way2Wealth has come out with its special report on Natural Gas. The research firm has recommended to buy MCX Natural Gas February above Rs 172 for the target of Rs 204 with a stop loss of Rs 158, in its research report dated February 11, 2015.",0.071428571,0.374285714,Positive
7788,Money Control,natural gas,23.02.2015,Natural gas futures climb to 5-week high on U.S. cold blast,-0.113333333,0.646666667,Negative
7809,Money Control,natural gas,19.02.2015,Natural gas futures down more than 1% after storage data,0.148148148,0.396296296,Positive
7833,Money Control,natural gas,17.02.2015,Natural gas futures slip into the red as earlier gains fade,0.033333333,0.3,Positive
7839,Money Control,natural gas,16.02.2015,Natural gas futures rise as more snow hits New England,0.245454545,0.451515152,Positive
7851,Money Control,natural gas,15.02.2015,Natural gas futures - weekly outlook: February 16 - 20,0.1,0.4,Positive
7884,Money Control,natural gas,11.02.2015,"According to Sushil Finance, Natural gas prices are expected to trade on positive note on the back of colder than normal temperature forecasts for next few days.",0.025324675,0.299350649,Positive
7920,Money Control,natural gas,05.02.2015,Natural gas futures hit 32-month low after bearish storage data,0.05,0.35,Positive
7934,Money Control,natural gas,04.02.2015,"Natural gas futures drop 2% with weather, supplies in focus",0.1,0.4,Positive
7952,Money Control,natural gas,03.02.2015,Natural gas trades near 28-month low on demand concerns,0.066666667,0.366666667,Positive
7978,Money Control,natural gas,01.02.2015,Natural gas futures - weekly outlook: February 2 - 6,0.1,0.4,Positive
